Date,Open,High,Low,Close,Adj Close,Volume
2020-01-16,39.299999,39.730000,39.099998,39.590000,37.899391,5869100
2020-01-17,40.790001,41.290001,40.230000,40.869999,39.124729,7556300
2020-01-21,40.619999,40.669998,40.040001,40.090000,38.378040,4493300
2020-01-22,40.240002,40.439999,40.049000,40.150002,38.435478,5494800
2020-01-23,39.950001,40.099998,39.320000,39.860001,38.157860,4050100
2020-01-24,39.750000,39.860001,38.750000,39.130001,37.459034,4790100
2020-01-27,38.139999,38.639999,38.020000,38.099998,36.473019,4654900
2020-01-28,37.950001,38.404999,37.669998,38.009998,36.763176,3714600
2020-01-29,38.080002,38.299999,37.564999,37.619999,36.385967,2555400
2020-01-30,37.150002,37.990002,37.110001,37.910000,36.666454,9265000
2020-01-31,37.389999,37.724998,37.035000,37.279999,36.057121,5991000
2020-02-03,37.610001,38.044998,37.595001,37.680000,36.444000,4277200
2020-02-04,38.520000,38.919998,38.235001,38.290001,37.033997,2855700
2020-02-05,38.959999,39.549999,38.840000,39.509998,38.213970,2963200
2020-02-06,39.820000,39.869999,38.689999,38.720001,37.449886,3180700
2020-02-07,38.400002,38.660000,38.186001,38.419998,37.159725,2354900
2020-02-10,38.200001,38.540001,38.130001,38.490002,37.227432,2980100
2020-02-11,38.700001,39.270000,38.590000,39.000000,37.720703,2716800
2020-02-12,39.290001,39.459999,38.730000,38.880001,37.604637,2068300
2020-02-13,38.680000,38.950001,38.540001,38.950001,37.672340,3005600
2020-02-14,38.869999,39.035000,38.430000,38.669998,37.401527,2089100
2020-02-18,38.290001,38.549999,37.619999,37.959999,36.714817,4455700
2020-02-19,38.160000,38.549999,37.900002,38.349998,37.092022,4542100
2020-02-20,38.130001,38.939999,38.119999,38.779999,37.507915,3906700
2020-02-21,38.430000,38.490002,37.430000,37.610001,36.376297,3261200
2020-02-24,36.290001,36.439999,35.845001,36.060001,34.877140,4538500
2020-02-25,35.990002,36.075001,34.294998,34.439999,33.310284,6157300
2020-02-26,34.700001,34.799999,33.619999,33.689999,32.584881,6767200
2020-02-27,32.700001,33.785999,32.200001,32.439999,31.375885,7734300
2020-02-28,31.510000,32.320000,30.905001,31.690001,30.650490,12008100
